iter	Passed	Remaining
640	38395	201201
641	38457	201152
642	38505	201030
643	38547	200878
644	38616	200865
645	38678	200817
646	38739	200761
647	38801	200714
648	38852	200610
649	38911	200542
650	38984	200552
651	39044	200489
652	39103	200427
653	39154	200320
654	39201	200195
655	39251	200088
656	39296	199952
657	39363	199926
658	39425	199878
659	39471	199748
660	39559	199830
661	39607	199715
662	39665	199641
663	39712	199519
664	39792	199559
665	39854	199510
666	39909	199428
667	39963	199337
668	40013	199228
669	40058	199098
670	40116	199028
671	40176	198970
672	40224	198853
673	40274	198744
674	40336	198694
675	40404	198673
676	40468	198635
677	40505	198466
678	40561	198386
679	40622	198332
680	40691	198319
681	40746	198233
682	40795	198125
683	40848	198032
684	40934	198100
685	41002	198080
686	41060	198011
687	41145	198073
688	41206	198018
689	41261	197936
690	41307	197808
691	41350	197672
692	41414	197628
693	41462	197516
694	41527	197481
695	41600	197483
696	41678	197508
697	41739	197454
698	41789	197350
699	41849	197290
700	41903	197203
701	41963	197146
702	42025	197093
703	42110	197154
704	42210	197279
705	42296	197345
706	42349	197252
707	42428	197279
708	42486	197211
709	42545	197149
710	42605	197088
711	42666	197035
712	42724	196963
713	42771	196842
714	42834	196799
715	42888	196711
716	43011	196942
717	43087	196956
718	43141	196865
719	43214	196866
720	43276	196814
721	43339	196769
722	43409	196753
723	43475	196720
724	43543	196694
725	43610	196668
726	43677	196640
727	43749	196632
728	43799	196528
729	43887	196592
730	43954	196562
731	43996	196423
732	44061	196383
733	44122	196328
734	44204	196363
735	44251	196245
736	44286	196075
737	44347	196017
738	44388	195875
739	44463	195879
740	44563	195995
741	44624	195937
742	44692	195914
743	44756	195869
744	44804	195754
745	44855	195655
746	44917	195604
747	44976	195540
748	45026	195433
749	45095	195412
750	45149	195328
751	45185	195163
752	45238	195073
753	45284	194950
754	45314	194760
755	45354	194614
756	45410	194539
757	45477	194510
758	45543	194476
759	45596	194385
760	45629	194210
761	45671	194073
762	45717	193954
763	45769	193862
764	45822	193770
765	45892	193755
766	45953	193697
767	46010	193629
768	46080	193608
769	46141	193555
770	46209	193526
771	46260	193432
772	46299	193284
773	46355	193206
774	46403	193099
775	46458	193018
776	46508	192917
777	46572	192874
778	46625	192785
779	46684	192721
780	46737	192633
781	46804	192602
782	46845	192469
783	46898	192377
784	46959	192324
785	47030	192309
786	47076	192193
787	47110	192028
788	47164	191945
789	47219	191865
790	47260	191729
791	47318	191665
792	47362	191539
793	47398	191384
794	47460	191334
795	47516	191261
796	47570	191176
797	47622	191085
798	47662	190947
799	47734	190937
800	47795	190884
801	47842	190774
802	47896	190691
803	47962	190654
804	48039	190664
805	48106	190635
806	48164	190567
807	48199	190413
808	48257	190345
809	48302	190229
810	48349	190119
811	48376	189932
812	48422	189820
813	48480	189754
814	48542	189704
815	48610	189677
816	48659	189576
817	48707	189469
818	48760	189387
819	48813	189299
820	48866	189215
821	48913	189109
822	48982	189083
823	49042	189028
824	49124	189053
825	49183	188994
826	49258	188993
827	49317	188930
828	49388	188916
829	49454	188881
830	49528	188874
831	49591	188829
832	49671	188848
833	49730	188785
834	49787	188714
835	49844	188644
836	49898	188563
837	49950	188477
838	49994	188358
839	50031	188214
840	50068	188070
841	50125	188000
842	50195	187980
843	50252	187909
844	50293	187782
845	50324	187615
846	50370	187504
847	50404	187352
848	50440	187206
849	50503	187160
850	50577	187155
851	50635	187090
852	50686	186997
853	50742	186927
854	50817	186926
855	50863	186817
856	50910	186709
857	50969	186649
858	51022	186567
859	51085	186522
860	51134	186425
861	51186	186338
862	51241	186260
863	51293	186177
864	51322	186006
865	51360	185870
866	51417	185804
867	51492	185799
868	51564	185785
869	51620	185714
870	51669	185617
871	51731	185567
872	51773	185445
873	51813	185320
874	51872	185258
875	51916	185145
876	51990	185139
877	52063	185127
878	52126	185080
879	52192	185044
880	52247	184970
881	52310	184925
882	52375	184887
883	52432	184819
884	52494	184768
885	52553	184708
886	52616	184661
887	52672	184591
888	52718	184483
889	52782	184442
890	52826	184331
891	52875	184233
892	52932	184167
893	52974	184046
894	53023	183953
895	53086	183905
896	53133	183805
897	53182	183709
898	53222	183586
899	53275	183503
900	53317	183387
901	53364	183283
902	53427	183240
903	53487	183183
904	53542	183109
905	53596	183033
906	53648	182948
907	53680	182796
908	53725	182688
909	53776	182604
910	53839	182558
911	53882	182444
912	53936	182367
913	54002	182333
914	54038	182194
915	54074	182057
916	54130	181989
917	54184	181913
918	54239	181840
919	54281	181723
920	54324	181613
921	54379	181538
922	54430	181454
923	54479	181361
924	54534	181290
925	54600	181255
926	54649	181161
927	54698	181071
928	54763	181032
929	54809	180930
930	54856	180832
931	54925	180807
932	54974	180713
933	55045	180694
934	55109	180652
935	55175	180615
936	55218	180505
937	55276	180442
938	55312	180310
939	55359	180213
940	55414	180140
941	55472	180079
942	55519	179983
943	55574	179911
944	55635	179859
945	55670	179722
946	55731	179671
947	55805	179660
948	55871	179625
949	55926	179552
950	55991	179512
951	56039	179420
952	56097	179357
953	56153	179290
954	56204	179208
955	56267	179161
956	56329	179113
957	56389	179058
958	56446	178992
959	56498	178910
960	56567	178886
961	56621	178809
962	56694	178795
963	56741	178701
964	56771	178551
965	56813	178439
966	56858	178335
967	56910	178257
968	56945	178122
969	56983	177999
970	57023	177882
971	57079	177814
972	57137	177754
973	57187	177667
974	57253	177633
975	57309	177564
976	57355	177467
977	57413	177405
978	57466	177330
979	57521	177261
980	57580	177201
981	57661	177211
982	57725	177170
983	57788	177125
984	57861	177108
985	57937	177104
986	58004	177070
987	58049	176968
988	58099	176883
989	58142	176776
990	58205	176729
991	58253	176640
992	58321	176609
993	58375	176536
994	58431	176468
995	58486	176399
996	58540	176327
997	58579	176207
998	58647	176178
999	58714	176144
1000	58763	176054
1001	58826	176009
1002	58896	175983
1003	58976	175989
1004	59024	175899
1005	59079	175828
1006	59154	175819
1007	59214	175764
1008	59266	175685
1009	59322	175618
1010	59367	175519
1011	59406	175401
1012	59456	175318
1013	59499	175211
1014	59541	175103
1015	59612	175083
1016	59679	175048
1017	59739	174992
1018	59797	174932
1019	59854	174867
1020	59913	174811
1021	59964	174729
1022	60016	174650
1023	60055	174536
1024	60108	174461
1025	60154	174366
1026	60224	174339
1027	60289	174299
1028	60354	174259
1029	60406	174183
1030	60460	174108
1031	60503	174005
1032	60563	173950
1033	60616	173876
1034	60680	173832
1035	60735	173763
1036	60801	173726
1037	60859	173666
1038	60916	173603
1039	60962	173507
1040	61029	173474
1041	61093	173429
1042	61150	173368
1043	61207	173302
1044	61265	173242
1045	61328	173198
1046	61382	173124
1047	61430	173037
1048	61475	172939
1049	61539	172897
1050	61613	172882
1051	61665	172802
1052	61720	172736
1053	61779	172678
1054	61847	172644
1055	61910	172597
1056	61976	172561
1057	62057	172564
1058	62115	172504
1059	62158	172401
1060	62207	172316
1061	62250	172214
1062	62311	172161
1063	62381	172136
1064	62447	172095
1065	62499	172020
1066	62562	171973
1067	62605	171871
1068	62659	171800
1069	62707	171711
1070	62766	171654
1071	62830	171611
1072	62887	171547
1073	62944	171486
1074	63008	171441
1075	63068	171387
1076	63125	171323
1077	63173	171235
1078	63234	171184
1079	63289	171114
1080	63342	171043
1081	63403	170989
1082	63464	170937
1083	63523	170880
1084	63576	170807
1085	63640	170763
1086	63705	170721
1087	63757	170646
1088	63824	170609
1089	63871	170519
1090	63939	170486
1091	63996	170423
1092	64036	170313
1093	64080	170217
1094	64128	170130
1095	64181	170058
1096	64245	170014
1097	64308	169967
1098	64347	169857
1099	64397	169775
1100	64444	169685
1101	64506	169636
1102	64537	169506
1103	64592	169437
1104	64650	169379
1105	64720	169349
1106	64767	169261
1107	64816	169178
1108	64866	169097
1109	64926	169044
1110	64994	169008
1111	65059	168967
1112	65115	168901
1113	65180	168861
1114	65236	168795
1115	65286	168714
1116	65324	168603
1117	65402	168595
1118	65462	168540
1119	65531	168510
1120	65581	168428
1121	65622	168325
1122	65674	168251
1123	65724	168169
1124	65772	168085
1125	65841	168054
1126	65889	167968
1127	65955	167929
1128	66010	167862
1129	66060	167782
1130	66105	167690
1131	66153	167603
1132	66196	167506
1133	66260	167462
1134	66333	167442
1135	66390	167378
1136	66451	167326
1137	66511	167271
1138	66566	167206
1139	66609	167107
1140	66668	167051
1141	66727	166994
1142	66785	166933
1143	66839	166864
1144	66901	166816
1145	66969	166781
1146	67006	166669
1147	67052	166580
1148	67110	166521
1149	67180	166491
1150	67232	166415
1151	67292	166362
1152	67330	166253
1153	67378	166169
1154	67430	166094
1155	67475	166002
1156	67542	165967
1157	67590	165881
1158	67624	165765
1159	67689	165723
1160	67746	165661
1161	67801	165593
1162	67854	165524
1163	67915	165470
1164	67979	165425
1165	68039	165371
1166	68108	165339
1167	68160	165264
1168	68208	165183
1169	68281	165158
1170	68352	165131
1171	68427	165112
1172	68496	165081
1173	68551	165014
1174	68596	164924
1175	68643	164838
1176	68693	164759
1177	68755	164709
1178	68817	164660
1179	68876	164602
1180	68932	164538
1181	68978	164450
1182	69030	164378
1183	69080	164299
1184	69136	164235
1185	69212	164220
1186	69261	164137
1187	69302	164039
1188	69354	163965
1189	69416	163916
1190	69443	163783
1191	69496	163713
1192	69563	163674
1193	69622	163619
1194	69682	163565
1195	69740	163505
1196	69790	163426
1197	69833	163333
1198	69883	163256
1199	69931	163173
1200	69985	163104
1201	70042	163044
1202	70108	163003
1203	70161	162933
1204	70218	162872
1205	70276	162813
1206	70327	162738
1207	70375	162655
1208	70423	162574
1209	70476	162504
1210	70538	162452
1211	70599	162401
1212	70658	162345
1213	70713	162279
1214	70769	162215
1215	70820	162142
1216	70868	162059
1217	70931	162011
1218	70992	161959
1219	71047	161894
1220	71088	161798
1221	71133	161709
1222	71194	161656
1223	71247	161587
1224	71304	161526
1225	71358	161459
1226	71402	161369
1227	71458	161306
1228	71519	161254
1229	71578	161196
1230	71643	161153
1231	71695	161081
1232	71740	160995
1233	71793	160923
1234	71832	160822
1235	71903	160794
1236	71965	160743
1237	72033	160708
1238	72081	160627
1239	72129	160546
1240	72176	160462
1241	72229	160393
1242	72287	160334
1243	72352	160291
1244	72395	160200
1245	72447	160129
1246	72505	160071
1247	72556	159995
1248	72618	159946
1249	72678	159892
1250	72734	159830
1251	72787	159760
1252	72847	159705
1253	72901	159639
1254	72951	159562
1255	72996	159477
1256	73049	159406
1257	73092	159315
1258	73142	159240
1259	73202	159187
1260	73257	159121
1261	73323	159081
1262	73384	159029
1263	73439	158963
1264	73486	158881
1265	73527	158786
1266	73586	158731
1267	73646	158676
1268	73703	158617
1269	73760	158556
1270	73804	158468
1271	73849	158380
1272	73922	158354
1273	73975	158286
1274	74026	158213
1275	74080	158146
1276	74125	158060
1277	74185	158007
1278	74251	157965
1279	74322	157936
1280	74371	157857
1281	74431	157803
1282	74483	157732
1283	74531	157654
1284	74586	157589
1285	74649	157541
1286	74688	157444
1287	74750	157394
1288	74814	157347
1289	74876	157299
1290	74931	157234
1291	74994	157185
1292	75049	157122
1293	75107	157064
1294	75163	157002
1295	75218	156937
1296	75283	156893
1297	75347	156847
1298	75399	156777
1299	75463	156732
1300	75521	156673
1301	75571	156598
1302	75623	156527
1303	75678	156465
1304	75718	156368
1305	75766	156291
1306	75813	156210
1307	75863	156135
1308	76020	156281
1309	76089	156243
1310	76152	156197
1311	76198	156113
1312	76257	156057
1313	76323	156015
1314	76370	155936
1315	76423	155865
1316	76475	155796
1317	76543	155758
1318	76592	155682
1319	76688	155700
1320	76801	155753
1321	76857	155692
1322	76907	155617
1323	76966	155561
1324	77039	155531
1325	77078	155435
1326	77125	155355
1327	77193	155317
1328	77262	155280
1329	77326	155235
1330	77392	155193
1331	77453	155139
1332	77506	155071
1333	77556	154996
1334	77610	154930
1335	77661	154858
1336	77724	154810
1337	77787	154761
1338	77845	154703
1339	77903	154643
1340	77949	154563
1341	78016	154521
1342	78066	154447
1343	78110	154360
1344	78173	154313
1345	78226	154243
1346	78294	154206
1347	78348	154138
1348	78404	154076
1349	78468	154030
1350	78533	153985
1351	78605	153955
1352	78657	153885
1353	78714	153824
1354	78763	153749
1355	78812	153672
1356	78876	153626
1357	78940	153579
1358	79008	153539
1359	79064	153477
1360	79118	153411
1361	79177	153355
1362	79226	153280
1363	79295	153242
1364	79349	153176
1365	79405	153114
1366	79477	153083
1367	79528	153011
1368	79582	152944
1369	79641	152887
1370	79694	152819
1371	79750	152759
1372	79811	152705
1373	79839	152590
1374	79881	152500
1375	79922	152410
1376	79972	152337
1377	80034	152286
1378	80085	152214
1379	80158	152185
1380	80213	152120
1381	80264	152048
1382	80315	151978
1383	80373	151919
1384	80416	151833
1385	80470	151768
1386	80529	151711
1387	80569	151618
1388	80629	151564
1389	80683	151499
1390	80730	151420
1391	80788	151363
1392	80852	151315
1393	80897	151233
1394	80953	151170
1395	81024	151136
1396	81066	151050
1397	81115	150974
1398	81171	150912
1399	81242	150878
1400	81340	150895
1401	81398	150837
1402	81460	150786
1403	81513	150718
1404	81575	150667
1405	81655	150650
1406	81703	150573
1407	81756	150506
1408	81815	150450
1409	81881	150406
1410	81937	150344
1411	81994	150284
1412	82028	150181
1413	82092	150135
1414	82142	150062
1415	82189	149984
1416	82240	149914
1417	82295	149850
1418	82345	149777
1419	82384	149685
1420	82454	149647
1421	82522	149608
1422	82575	149540
1423	82632	149481
1424	82693	149428
1425	82751	149370
1426	82806	149306
1427	82866	149251
1428	82921	149189
1429	82989	149148
1430	83033	149066
1431	83088	149002
1432	83140	148932
1433	83207	148890
1434	83255	148815
1435	83305	148742
1436	83365	148688
1437	83411	148608
1438	83471	148555
1439	83523	148485
1440	83575	148416
1441	83628	148351
1442	83671	148265
1443	83726	148203
1444	83773	148126
1445	83839	148080
1446	83908	148042
1447	83973	147997
1448	84029	147935
1449	84082	147869
1450	84165	147855
1451	84218	147787
1452	84275	147728
1453	84359	147716
1454	84407	147639
1455	84455	147565
1456	84523	147523
1457	84582	147468
1458	84627	147387
1459	84694	147344
1460	84744	147272
1461	84800	147211
1462	84848	147136
1463	84896	147061
1464	84962	147017
1465	85019	146957
1466	85069	146885
1467	85150	146867
1468	85199	146794
1469	85245	146715
1470	85292	146638
1471	85346	146572
1472	85402	146511
1473	85457	146449
1474	85499	146363
1475	85563	146316
1476	85619	146253
1477	85670	146184
1478	85724	146119
1479	85773	146047
1480	85823	145974
1481	85874	145906
1482	85940	145860
1483	85995	145799
1484	86058	145749
1485	86125	145706
1486	86179	145641
1487	86236	145582
1488	86309	145548
1489	86376	145506
1490	86434	145449
1491	86485	145379
1492	86555	145342
1493	86611	145280
1494	86664	145213
1495	86716	145145
1496	86759	145062
1497	86806	144986
1498	86844	144895
1499	86920	144868
1500	86973	144801
1501	87043	144763
1502	87111	144721
1503	87164	144656
1504	87239	144627
1505	87294	144563
1506	87335	144477
1507	87360	144364
1508	87415	144301
1509	87462	144226
1510	87521	144169
1511	87575	144105
1512	87615	144018
1513	87659	143938
1514	87718	143881
1515	87766	143807
1516	87793	143699
1517	87846	143633
1518	87903	143574
1519	87944	143488
1520	88004	143434
1521	88053	143361
1522	88117	143313
1523	88181	143266
1524	88238	143206
1525	88308	143168
1526	88370	143118
1527	88433	143067
1528	88504	143030
1529	88570	142986
1530	88636	142940
1531	88689	142875
1532	88749	142822
1533	88807	142764
1534	88856	142690
1535	88921	142645
1536	88990	142605
1537	89019	142501
1538	89056	142410
1539	89103	142334
1540	89156	142268
1541	89212	142207
1542	89275	142158
1543	89338	142107
1544	89391	142042
1545	89437	141966
1546	89499	141915
1547	89538	141827
1548	89578	141741
1549	89619	141656
1550	89664	141578
1551	89706	141495
1552	89757	141427
1553	89815	141370
1554	89870	141307
1555	89919	141235
1556	89979	141181
1557	90030	141113
1558	90098	141070
1559	90141	140990
1560	90190	140918
1561	90242	140852
1562	90290	140778
1563	90344	140714
1564	90393	140644
1565	90456	140594
1566	90507	140526
1567	90559	140459
1568	90609	140389
1569	90645	140298
1570	90688	140217
1571	90740	140151
1572	90805	140104
1573	90857	140038
1574	90912	139976
1575	90969	139917
1576	91029	139862
1577	91082	139797
1578	91146	139750
1579	91201	139687
1580	91258	139629
1581	91317	139574
1582	91368	139506
1583	91420	139438
1584	91464	139360
1585	91513	139289
1586	91572	139234
1587	91624	139167
1588	91693	139126
1589	91728	139035
1590	91782	138971
1591	91831	138901
1592	91869	138813
1593	91919	138744
1594	91974	138681
1595	92045	138645
1596	92111	138600
1597	92144	138504
1598	92198	138442
1599	92243	138364
1600	92292	138294
1601	92339	138220
1602	92401	138169
1603	92461	138115
1604	92526	138069
1605	92603	138040
1606	92668	137992
1607	92717	137922
1608	92775	137866
1609	92842	137822
1610	92920	137794
1611	92963	137714
1612	92999	137625
1613	93061	137574
1614	93108	137500
1615	93171	137450
1616	93231	137396
1617	93294	137347
1618	93360	137301
1619	93397	137213
1620	93439	137133
1621	93485	137058
1622	93534	136988
1623	93588	136925
1624	93652	136876
1625	93715	136826
1626	93765	136757
1627	93810	136682
1628	93861	136614
1629	93908	136542
1630	93961	136477
1631	94023	136425
1632	94068	136350
1633	94122	136287
1634	94179	136228
1635	94245	136183
1636	94290	136108
1637	94346	136047
1638	94406	135994
1639	94466	135939
1640	94529	135889
1641	94584	135828
1642	94626	135748
1643	94677	135680
1644	94746	135640
1645	94803	135581
1646	94865	135531
1647	94923	135473
1648	94977	135411
1649	95046	135369
1650	95111	135322
1651	95166	135261
1652	95225	135205
1653	95276	135138
1654	95345	135096
1655	95411	135051
1656	95460	134981
1657	95501	134899
1658	95567	134854
1659	95634	134810
1660	95676	134729
1661	95713	134643
1662	95784	134605
1663	95854	134564
